Source,Target,Type,Label,timeset,Weight
1266882040764542976,1083774484123975680,Directed,0,,1
1266881986343374849,340331807,Directed,1,,1
1266881986343374849,40053694,Directed,2,,1
1266881986343374849,128372940,Directed,3,,1
1266881886091182082,1085976919370317824,Directed,4,,1
1266881886091182082,870157520152735744,Directed,5,,1
1266881886091182082,55536488,Directed,6,,1
1266881886091182082,759001618884939776,Directed,7,,1
1266881886091182082,20045580,Directed,8,,1
1266881886091182082,49677865,Directed,9,,1
1266881795221590017,2223716455,Directed,10,,1
1266881757594431489,74756085,Directed,11,,1
1266881757594431489,1523748277,Directed,12,,1
1266881751894372358,74756085,Directed,13,,1
1266881751894372358,1523748277,Directed,14,,1
1266881610047262720,1203478185096208384,Directed,15,,1
1266881610047262720,896890378560962561,Directed,16,,1
1266881610047262720,14128609,Directed,17,,1
1266881553927454721,74756085,Directed,18,,1
1266881553927454721,1523748277,Directed,19,,1
1266881268916117507,128372940,Directed,20,,1
1266881259755704325,809124436880322561,Directed,21,,1
1266881166759600129,14171352,Directed,22,,1
1266881068084482048,1245341168231157760,Directed,23,,1
1266881010530242561,1187489378261749760,Directed,24,,1
1266881010530242561,0,Directed,25,,1
1266881010530242561,3996244353,Directed,26,,1
1266880955320582144,63010366,Directed,27,,1
1266880796364767232,74756085,Directed,28,,1
1266880796364767232,1523748277,Directed,29,,1
1266880793231659008,1137581080788307968,Directed,30,,1
1266880753499070464,1210609350483566592,Directed,31,,1
1266880753499070464,1145472041841319936,Directed,32,,1
1266880753499070464,116030031,Directed,33,,1
1266880611182051329,68712576,Directed,34,,1
1266880522590064640,74756085,Directed,35,,1
1266880479476711424,113029811,Directed,36,,1
1266880479476711424,128372940,Directed,37,,1
1266880394202398720,759001618884939776,Directed,38,,1
1266880388028420096,0,Directed,39,,1
1266880388028420096,1,Directed,40,,1
1266880242045591552,759001618884939776,Directed,41,,1
1266880078840922115,74756085,Directed,42,,1
1266880078840922115,1523748277,Directed,43,,1
1266880035555815425,152325528,Directed,44,,1
1266879962826637315,1266879962826637315,Directed,45,,1
1266879940047355904,352373166,Directed,46,,1
1266879785076240387,2892290499,Directed,47,,1
1266879774011600896,8802752,Directed,48,,1
1266879702645514241,809124436880322561,Directed,49,,1
1266879678763196422,226542162,Directed,50,,1
1266879549104689153,69638425,Directed,51,,1
1266879549104689153,180893023,Directed,52,,1
1266879476283183104,131716054,Directed,53,,1
1266879398998933504,2,Directed,54,,1
1266879365931044865,2683464980,Directed,55,,1
1266879331231584257,831200167,Directed,56,,1
1266879331231584257,30978177,Directed,57,,1
1266879193100554241,1035253990651568128,Directed,58,,1
1266879160628240384,396048791,Directed,59,,1
1266879128827039745,74756085,Directed,60,,1
1266879128827039745,1523748277,Directed,61,,1
1266879117636644864,45409867,Directed,62,,1
1266879027668815873,1083774484123975680,Directed,63,,1
1266878983477616641,118569516,Directed,64,,1
1266878952880189441,15534741,Directed,65,,1
1266878952880189441,128372940,Directed,66,,1
1266878859749863427,258856646,Directed,67,,1
1266878859749863427,39522911,Directed,68,,1
1266878843551461376,18297088,Directed,69,,1
1266878756754505738,4123206471,Directed,70,,1
1266878496602718214,67150902,Directed,71,,1
1266878486540685315,728281672731471873,Directed,72,,1
1266878486540685315,128372940,Directed,73,,1
1266878425861705728,1105846720511045633,Directed,74,,1
1266878425861705728,58951368,Directed,75,,1
1266878093844766724,837874510414098432,Directed,76,,1
1266878056070885376,40095953,Directed,77,,1
1266878056070885376,37717107,Directed,78,,1
1266878056070885376,37776045,Directed,79,,1
1266877688054251522,1083774484123975680,Directed,80,,1
1266877630378278915,10228272,Directed,81,,1
1266877482059345920,3,Directed,82,,1
1266877482059345920,8802752,Directed,83,,1
1266877482059345920,959791427143299072,Directed,84,,1
1266877482059345920,1254774673956409361,Directed,85,,1
1266877360466468867,0,Directed,86,,1
1266877060972191745,55536488,Directed,87,,1
1266877060972191745,759001618884939776,Directed,88,,1
1266876844336394241,18297088,Directed,89,,1
1266876830092591107,4,Directed,90,,1
1266876830092591107,67042497,Directed,91,,1
1266876634721849345,61887060,Directed,92,,1
1266876634721849345,234122105,Directed,93,,1
1266876549007056896,74756085,Directed,94,,1
1266876549007056896,1523748277,Directed,95,,1
1266876509412786183,58951368,Directed,96,,1
1266876421730902017,0,Directed,97,,1
1266876421730902017,1,Directed,98,,1
1266876332509667328,20372050,Directed,99,,1
